event_logo_url,event_name,event_start_date,event_end_date,event_venue,event_country,event_description,event_url,similar_terms
https://www.cybersecurityworldasia.com/cdn.asp.events/CLIENT_CloserSt_D86EA381_5056_B739_5482D50A1A831DDD/sites/CSWA-2023/media/branding/CSWA-White-wo-Dates.png,Cyber Security World Asia,2024-10-09,2024-10-10,Marina Bay Sands,,"PAVING THE WAY FOR THE FUTURE OF CYBERSECURITY. Cyber Security World Asia will return on 9-10th October 2024 at Marina Bay Sands, Singapore. With thousands of professionals, business leaders, and cybersecurity enthusiasts in attendance, the award-winning event offers a unique opportunity for networking and knowledge exchange. This expansive platform of professionals, thought leaders, and pioneering solution providers offers boundless opportunities to create partnerships, collaborate with peers, and future-proof your business. BE A PART OF THE COMMUNITY! Kicking-off our Call-for-Papers Campaign. Industry Thought Leaders, Join Us for this Edition!",https://www.cybersecurityworldasia.com/,Asia Business News (0.43)|Cybersecurity (0.43)|Cyber Security (0.39)|Media and Information Services (B2B) (0.38)|Industry Leadership Conferences (0.36)
https://www.designfairasia.com/wp-content/uploads/2024/04/find-logo.png,FIND-Design Fair Asia,2024-09-26,2024-09-28,"Level B2, Marina Bay Sands",,"Join Asia’s Leading Furniture, Interiors And Design Event.",https://www.designfairasia.com/,Design (0.40)|Asia Business News (0.39)|Exhibitions (0.36)|Furniture and Home Furnishings Manufacturing (0.35)|Design Services (0.33)
https://www.digitalmarketing-conference.com/asia/wp-content/uploads/sites/3/2023/01/DMWF-Asia-2024-Logo.png,#DMWF Asia,2025-02-26,2025-02-27,Marina Bay Sands,,Exploring the Future of Digital Marketing Technologies,https://www.digitalmarketing-conference.com/asia/,Marketing Digital (0.54)|Digital Marketing (0.54)|Asia Business News (0.51)|Internet Marketing (0.44)|Marketing (0.44)
https://www.ecommerceexpoasia.com/images/logo.png,eCommerce Expo Asia,2024-10-09,2024-10-10,Marina Bay Sands Expo & Convention Centre,,"eCommerce Expo Asia provides a platform for businesses to discover cutting-edge solutions, forge meaningful connections, and gain valuable insights to thrive in the ever-evolving ecommerce ecosystem.",https://www.ecommerceexpoasia.com/,Ecommerce (0.60)|E-Commerce (0.52)|Asia Business News (0.50)
https://www.geoconnectasia.com/templates/geoconnectasia2024/images/2025_GCA__Lockup 3-Full Colour_GCA Lockup 3-Full Colour.svg,Geo Connect Asia,2025-04-09,2025-04-10,Sands Expo & Convention Centre,,Delivering sustainable solutions for the built environment,https://www.geoconnectasia.com/digital-construction-asia,Green data centers (0.41)|Asia Business News (0.39)|Construction and Fabrication Documents (0.39)|Commercial & Residential Construction (0.38)|Construction (0.37)
https://www.industrial-transformation.com/adobe/dynamicmedia/deliver/dm-aid--6ae1b614-f9f2-48e3-b5c6-66c4713b15cc/group-18365-2x.png?preferwebp=true&quality=85,Industrial Transformation ASIA-PACIFIC 2024,2024-10-14,2024-10-16,Singapore EXPO,Singapore,"Constellar convenes businesses, curates ideas and creates opportunities for sustainable business growth.",https://www.industrial-transformation.com/,Asia Business News (0.47)|Microsoft Technologies (0.42)|Innovation (0.41)|Business Development (0.40)|Information Technology & Services (0.40)
https://www.issworldtraining.com/images/Banner8.gif,ISS World Asia,2024-09-03,2024-09-05,,,"ISS World Asia is the world's largest gathering of Regional Law Enforcement, Intelligence and Homeland Security Analysts, Telecoms as well as Financial Crime Investigators responsible for Cyber Crime Investigation, Electronic Surveillance and Intelligence Gathering. ISS World Programs present the methodologies and tools for Law Enforcement, Public Safety, Government and Private Sector Intelligence Communities in the fight against drug trafficking, cyber money laundering, human trafficking, terrorism and other criminal activities conducted over today's telecommunications network, the Internet and Social Media.",https://www.issworldtraining.com/ISS_AP/,Cybersecurity (0.46)|National Security (0.44)|International Affairs (0.43)|Law Enforcement (0.43)|The United States' lead foreign affairs agency (0.41)
https://www.itb-asia.com/resources/ck/images/logo.png,ITB Asia,2024-10-23,2024-10-25,Marina Bay Sands,Singapore,Asia's leading travel trade show,https://www.itb-asia.com/,Asia Business News (0.54)
https://www.medicalfair-asia.com/img/logo.jpg,MEDICAL FAIR ASIA,2024-09-11,2024-09-13,Marina Bay Sands,,"15th International Exhibition on Hospital, Diagnostic, Pharmaceutical, Medical & Rehabilitation Equipment & Supplies",https://www.medicalfair-asia.com/,Exhibitions (0.43)|Hospitals & Clinics (0.39)|Asia Business News (0.38)|Medical Equipment Manufacturing (0.38)|International Healthcare (0.38)
https://www.meinsurancereview.com/Portals/0/meir.svg,11th Middle East Insurance Industry Awards 2024,2024-11-21,2024-11-21,Dubai,United Arab Emirates,"Theme: ""Unlocking China’s Potential, Resilience and Power in the World’s Insurance Landscape""",https://www.meinsurancereview.com/Events/Home/Asia/cfo2024,Corporate Insurance (0.41)|Asia Business News (0.40)|Insurance (0.39)|Insurance Services (0.37)|Business Insurance (0.37)
https://www.osea-asia.com/wp-content/uploads/2021/11/OSEA-Offshore-Energy-Week-Logo_CMYK_OSEA_White-1024x523.png,OSEA 2024,2024-11-19,2024-11-21,Marina Bay Sands,,Integrating Offshore Energy Transition with Market Opportunities,https://www.osea-asia.com/,Energy Markets (0.45)|Asia Business News (0.43)|Business Energy (0.43)|Shipbuilding (0.41)|Maritime (0.37)
https://www.seafoodexpo.com/divcomevents3-static.s3.amazonaws.com/uploads/sites/24/2022/06/seafoodexpo_asia__horiz_4c.svg,Seafood Expo Asia,2024-09-04,2024-09-06,Sands Expo and Convention Centre,,"Seafood Expo Asia is a trade event where buyers and suppliers of seafood from around the world come together to network and conduct business in the lucrative Asia markets. The next event will be held in Singapore from September 4-6, 2024.",https://www.seafoodexpo.com/asia/,Asia Business News (0.52)|Event promotion (0.45)
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?preferwebp=true&width=320&quality=85,CeMAT Southeast Asia,2024-09-17,2024-09-19,Singapore EXPO,,"Exhibition for intralogistics, supply chain management, and material handling solutions",https://www.singaporeexpo.com.sg/contact/contact-us,Medical Equipment Manufacturing (0.41)|Construction and Fabrication Documents (0.40)|Personal Care Product Manufacturing (0.39)|Wholesale Building Materials (0.38)|Textile Manufacturing (0.38)
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?preferwebp=true&width=320&quality=85,CeMAT Southeast Asia,2024-09-17,2024-09-19,Singapore EXPO,Singapore,"Exhibition for intralogistics, supply chain management, and material handling solutions",https://www.singaporeexpo.com.sg/contact/getting-here,Construction and Fabrication Documents (0.39)|Exhibitions (0.38)|Medical Equipment Manufacturing (0.38)|Wholesale Building Materials (0.38)|Distributors/Wholesale (0.37)
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?preferwebp=true&width=320&quality=85,CeMAT Southeast Asia,2024-09-17,2024-09-19,Singapore EXPO,Singapore,"Exhibition for intralogistics, supply chain management, and material handling solutions",https://www.singaporeexpo.com.sg/explore-singapore-expo/go-green,Exhibitions (0.41)|Wholesale Building Materials (0.38)|Construction and Fabrication Documents (0.37)|Distributors/Wholesale (0.35)|Textile Manufacturing (0.35)
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?width=320&preferwebp=true&quality=85,Home Inspirations 2024,2025-01-25,2025-01-27,Singapore EXPO,,Home Inspirations 2024 is a home and interior design exhibition showcasing the latest trends and products.,https://www.singaporeexpo.com.sg/sg/organise-an-event,Exhibitions (0.47)|Design Services (0.40)|Design (0.40)
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?width=320&preferwebp=true&quality=85,Home Inspirations 2024,2024-12-05,2024-12-07,Singapore EXPO,,Home Inspirations 2024 is a home and interior design exhibition showcasing the latest trends and products.,https://www.singaporeexpo.com.sg/sg/organise-an-event/plan-your-event#,Exhibitions (0.45)|Design (0.42)|Design Services (0.42)|Design and Visualization (0.38)|Graphic Design (0.36)
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?width=320&preferwebp=true&quality=85,Home Inspirations 2024,2025-01-25,2025-01-27,Singapore EXPO,,Home Inspirations 2024 is a home and interior design exhibition showcasing the latest trends and products.,https://www.singaporeexpo.com.sg/sg/organise-an-event/plan-your-event#1,Exhibitions (0.45)|Design (0.42)|Design Services (0.41)|Design and Visualization (0.39)|Graphic Design (0.36)
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?preferwebp=true&width=320&quality=85,CeMAT Southeast Asia,2024-09-12,2024-09-14,Singapore EXPO,,Exhibition focusing on intralogistics and supply chain management solutions,https://www.singaporeexpo.com.sg/sg/organise-an-event/venue-spaces,Exhibitions (0.52)|Event Management (0.48)|Event promotion (0.46)|Events Services (0.44)|Global Business Event Directory (0.41)
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?preferwebp=true&width=320&quality=85,CeMAT Southeast Asia,2024-09-12,2024-09-14,Singapore EXPO,Singapore,"Exhibition for intralogistics, supply chain management, material handling, and logistics",https://www.singaporeexpo.com.sg/sg/organise-an-event/virtual-tour,Exhibitions (0.52)|Event promotion (0.42)
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?preferwebp=true&width=320&quality=85,AFA Creators Super Fest 2024,2024-07-27,2024-07-28,Hall 3,Singapore,"Creators Super Fest is an innovative and engaging community event showcasing creative talents in Anime, Cosplay, Crafters & Music.",https://www.singaporeexpo.com.sg/sg/what-s-on/events-expo/AFA-Creators-Super-Fest-2024,Event promotion (0.40)|Exhibitions (0.37)|Art (0.37)|Entertainment - Cinema & Performance Theatre (0.33)|Creativity (0.33)
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?width=320&preferwebp=true&quality=85,Sake Meguri 2024,2024-07-27,,Peridot 201-202,,"Sake Meguri, presented by Sake.sg, is gearing up for its second annual celebration, promising a captivating experience for both sake enthusiasts and newcomers.",https://www.singaporeexpo.com.sg/sg/what-s-on/events-expo/Sake-Meguri-2024,Event promotion (0.39)|Entertainment - Cinema & Performance Theatre (0.35)|Pastry Arts (0.34)|Branded Content (0.34)|Asia Business News (0.33)
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?width=320&preferwebp=true&quality=85,The Big Furniture Fair 2024,2024-11-15,2024-11-17,Singapore EXPO,Singapore,Discover the latest trends and designs in furniture at this grand fair.,https://www.singaporeexpo.com.sg/sg/what-s-on/play-expo,Furniture and Home Furnishings Manufacturing (0.45)|Design (0.37)|Exhibitions (0.37)
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?preferwebp=true&width=320&quality=85,CeMAT Southeast Asia,2024-09-17,2024-09-19,Singapore EXPO,Singapore,"Exhibition for intralogistics, supply chain management, and material handling solutions",https://www.singaporeexpo.com.sg/what-s-on/events-expo,Exhibitions (0.46)|Event promotion (0.42)|Event Management (0.41)|Events Services (0.39)|Events (0.38)
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?preferwebp=true&width=320&quality=85,CeMAT Southeast Asia,2024-09-17,2024-09-19,Singapore EXPO,Singapore,"Exhibition for intralogistics, supply chain management, and material handling solutions",https://www.singaporeexpo.com.sg/what-s-on/feast-expo,Exhibitions (0.43)|Wholesale Building Materials (0.37)|Distributors/Wholesale (0.37)|Construction and Fabrication Documents (0.37)|Asia Business News (0.36)
https://www.sitce.org/eu-admin.eventscloud.com/file_uploads/4e181761f608468d227ddbef2a878cef_NewLogo1.png,LTA-UITP Singapore International Transport Congress & Exhibition 2024,2024-11-06,2024-11-08,Suntec Singapore Exhibition and Convention Centre,,"The leading public transport event in the Asia Pacific region themed ""Smarter Journeys for Sustainable Cities"".",https://www.sitce.org/website/7302/,Exhibitions (0.44)|Event promotion (0.39)|Mobile Device Event Promotion (0.37)|Transportation (0.37)
https://www.space.org.sg/gstc/wp-content/uploads/2020/07/GSTC-logo.png,Global Space and Technology Convention 2025,2025-02-27,2025-02-28,Singapore,,"The 17th edition GSTC 2025, is the go-to platform for your space and satellite business to connect with the burgeoning space industry in Asia. Join us as we explore the future world of space technology and unlock new possibilities.",https://www.space.org.sg/gstc/,Satellite Telecommunications (0.50)|Asia Business News (0.49)|Space Research and Technology (0.44)|Telecommunications General (0.41)|Information Technology & Services (0.40)
https://www.terrapinn.com/logos/E10817.gif,Submarine Networks World 2024,2024-09-25,2024-09-26,Suntec Convention Centre,,The premier submarine communications event,https://www.terrapinn.com/conference/submarine-networks-world/index.stm,OIL&GAS： Submarine cable (0.45)
https://www.terrapinn.com/logos/E10825.gif,Accounting & Business Show Asia 2024,2024-10-16,2024-10-17,"Sands Expo & Convention Centre, Singapore",,"Asia’s leading tech & strategy event for accountants, finance leaders and business owners",https://www.terrapinn.com/exhibition/accounting-finance-show-asia/index.stm,Asia Business News (0.46)|Accounting & Accounting Services (0.43)|Exhibitions (0.42)|Event promotion (0.39)|Finance General (0.37)
https://www.terrapinn.com/exhibition/aviation-festival-asia/img/AFAlogo150.png,Aviation Festival Asia 2025,2025-02-18,2025-02-19,"The Suntec Centre, Singapore",,Business models. Technology. Sustainability. Innovation. For Asia’s aviation Industry.,https://www.terrapinn.com/exhibition/aviation-festival-asia/index.stm,Exhibitions (0.48)|Asia Business News (0.47)|Aviation & Aerospace (0.46)|Industry Leadership Conferences (0.42)|Aviation and Aerospace Component Manufacturing (0.41)
https://www.terrapinn.com/logos/E10855.gif,EDUtech_Asia 2024,2024-11-05,2024-11-07,"Sands Expo & Convention Centre, Singapore",,Asia’s largest conference and exhibition for educators and EdTech providers,https://www.terrapinn.com/exhibition/edutech-asia/index.stm,EdTech (0.52)|Exhibitions (0.47)
https://www.terrapinn.com/logos/E10871.gif,Seamless Asia 2025,2025-02-26,2025-02-27,"Suntec Convention & Exhibition Centre, Singapore",,"THE FUTURE OF PAYMENTS, BANKING & E-COMMERCE IN ASIA",https://www.terrapinn.com/exhibition/seamless/,Asia Business News (0.46)|Banking (0.43)|Investment Banking (0.42)|Fintech (0.39)|FinTech (0.39)
https://www.themeetingsshow-apac.com/cdn.asp.events/CLIENT_Northsta_5B1737B2_5056_B733_83AD112B2FDD2BEF/sites/tms-asia-pacific-2024/media/00.-TMS-APAC-LOGO/TMS_APC_LOGO_RGB_LIGHT_BG.png,The Meetings Show Asia Pacific,2025-04-16,2025-04-17,Marina Bay Sands,Singapore,"The Meetings Show Asia Pacific is a global event featuring destinations, venues, hotels, and other key suppliers. It includes a hosted buyer program, prescheduled meetings, an education program, and networking events.",https://www.themeetingsshow-apac.com/,Asia Business News (0.49)|Event promotion (0.47)|Events Services (0.46)|Global Business Event Directory (0.44)|Event Management (0.43)
https://www.tocevents-asia.com/content/dam/markets/mart/toc-asia/MTM22TAS-RR-TOC-Asia-logo-RGB.png,TOC Asia,2024-11-26,2024-11-27,Marina Bay Sands,,Connecting the Port & Terminal Industry Across the APAC Region,https://www.tocevents-asia.com/en/home.html,Asia Business News (0.48)|Shipbuilding (0.40)
https://www.utechseasia.com/images/UT-SEA-2024-1920x300-website-header.jpg,UTECH Southeast Asia,2024-11-13,2024-11-14,Marina Bay Sands,,Premier event in South East Asia dedicated to technical foam and polyurethanes,https://www.utechseasia.com/,Asia Business News (0.38)|Shipbuilding (0.37)|Maritime (0.34)|Construction and Fabrication Documents (0.32)
https://www.worldchefscongress.org/img/congress-logo-2024.png,Worldchefs Congress & Expo 2024,2024-10-20,2024-10-25,Singapore,,The biennial event for industry leaders and culinary innovators,https://www.worldchefscongress.org/,Industry Leadership Conferences (0.38)|Asia Business News (0.37)|Culinary Arts (0.37)|Food and Beverage Manufacturing (0.35)|Exhibitions (0.35)
https://zaksalaamindia.com/images/logo1.png,ZAK Salaam India Expo,2024-07-11,2024-07-14,Singapore Expo,,"ZAK Salaam India Expo is a salute to the ""Spirit of India"". The Expo is an exclusive ""Source from India"" of Indian products & companies from multiple industry sectors, organized by Zak Trade Fairs & Exhibitions Pvt. Ltd. ZAK Salaam India Expo has completed 35 editions as on date, with over 200 exhibitors, and attracts over 20,000 visitors. It is a 4-day exhibition, organized by Zak Trade Fairs & Exhibitions Pvt. Ltd., with exhibitors from India, Singapore, the Middle East, South Asia (Sri Lanka & Pakistan), East Asia and more.",https://zaksalaamindia.com/,Exhibitions (0.47)
http://www.icscm.org/images/logo.png,6th International Conference on Supply Chain Management (ICSCM2025),2025-02-21,2025-02-23,Hosei University,Japan,International platform for presenting and publishing scientific research outcomes related to Supply Chain Management,http://www.icscm.org/index.html,Supply Chain (0.63)|Supply Chain and Storage (0.56)
